Pt name,North,East,Ground,WSE,Elevation_recorded,Depth,Code,Notes
20381,2065508.421,6578289.236,164.965,176.874,176.474,11.909,BATH,
20382,2065511.496,6578289.582,164.989,176.898,176.498,11.909,BATH,
20383,2065514.112,6578289.755,164.921,176.896,176.496,11.975,BATH,
20384,2065516.429,6578289.769,165.163,176.876,176.476,11.713,BATH,
20385,2065518.572,6578289.632,165.184,176.864,176.464,11.68,BATH,
20386,2065520.599,6578289.305,165.653,176.873,176.473,11.22,BATH,
20387,2065523.457,6578289.888,165.69,176.845,176.445,11.155,BATH,
20388,2065526.383,6578290.544,165.829,176.853,176.453,11.024,BATH,
20389,2065529.441,6578291.025,165.71,176.865,176.465,11.155,BATH,
20390,2065531.836,6578292.302,165.464,176.881,176.481,11.417,BATH,
20391,2065534.024,6578293.462,165.269,176.85,176.45,11.581,BATH,
20392,2065535.972,6578294.342,165.244,176.858,176.458,11.614,BATH,
20393,2065538.019,6578294.631,165.8,176.856,176.456,11.056,BATH,
20394,2065539.92,6578295.251,166.202,176.865,176.465,10.663,BATH,
20395,2065542.495,6578294.477,166.63,176.899,176.499,10.269,BATH,
20396,2065544.552,6578293.942,166.583,176.852,176.452,10.269,BATH,
20397,2065546.241,6578294.027,166.517,176.852,176.452,10.335,BATH,
20398,2065547.408,6578294.715,166.809,176.881,176.481,10.072,BATH,
20399,2065547.099,6578296.673,166.499,176.834,176.434,10.335,BATH,
20400,2065547.423,6578298.17,165.536,176.888,176.488,11.352,BATH,
20401,2065546.814,6578300.322,165.124,176.804,176.404,11.68,BATH,
20402,2065545.77,6578302.793,164.874,176.849,176.449,11.975,BATH,
20403,2065546.4,6578305.474,164.068,176.896,176.496,12.828,BATH,
20404,2065549.112,6578307.809,164.34,176.84,176.44,12.5,BATH,
20405,2065550.862,6578310.925,164.165,176.829,176.429,12.664,BATH,
20406,2065550.058,6578313.273,163.593,176.815,176.415,13.222,BATH,
20407,2065549.237,6578313.379,163.63,176.852,176.452,13.222,BATH,
20408,2065548.943,6578312.893,163.727,176.85,176.45,13.123,BATH,
20409,2065547.82,6578312.878,163.112,176.859,176.459,13.747,BATH,
20410,2065545.391,6578312.535,162.805,176.88,176.48,14.075,BATH,
20411,2065542.633,6578312.533,164.146,176.876,176.476,12.73,BATH,
20412,2065540.25,6578311.769,163.668,176.824,176.424,13.156,BATH,
20413,2065537.805,6578310.811,163.821,176.944,176.544,13.123,BATH,
20414,2065534.182,6578309.834,164.171,176.835,176.435,12.664,BATH,
20415,2065529.959,6578308.955,163.64,176.763,176.363,13.123,BATH,
20416,2065525.437,6578308.458,164.333,176.833,176.433,12.5,BATH,
20417,2065520.729,6578308.234,164.441,176.843,176.443,12.402,BATH,
20418,2065515.799,6578308.116,164.242,176.808,176.408,12.566,BATH,
20419,2065511.044,6578307.877,163.932,176.793,176.393,12.861,BATH,
20420,2065506.389,6578307.821,162.65,176.856,176.456,14.206,BATH,
20421,2065501.422,6578307.807,160.661,176.803,176.403,16.142,BATH,
20422,2065496.581,6578308.17,160.557,176.764,176.364,16.207,BATH,
20423,2065491.893,6578308.869,158.964,176.877,176.477,17.913,BATH,
20424,2065486.937,6578309.163,158.532,176.839,176.439,18.307,BATH,
20425,2065482.257,6578309.909,158.286,176.856,176.456,18.57,BATH,
20426,2065478.002,6578311.032,157.659,176.819,176.419,19.16,BATH,
20427,2065473.93,6578312.302,157.189,176.874,176.474,19.685,BATH,
20428,2065469.717,6578313.358,155.853,176.85,176.45,20.997,BATH,
20429,2065465.788,6578314.625,156.047,176.782,176.382,20.735,BATH,
20430,2065461.965,6578316.039,157.341,176.796,176.396,19.455,BATH,
20431,2065457.82,6578317.154,156.005,176.805,176.405,20.8,BATH,
